Loyalty Number,Table,Anomaly Type,Details,Recommended Action
397848,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
397891,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
397962,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-06, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
398074,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
399101,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
399514,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
400404,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
400478,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
400844,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
400873,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
401424,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
401858,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
401956,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-07, Flight activity up to 2018-12 (5 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
402136,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
402390,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
403473,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
403529,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-11, Flight activity up to 2018-12 (48 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
405465,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
405739,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
405768,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
406287,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
406988,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
407478,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-04, Flight activity up to 2018-12 (20 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
407641,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
407648,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
407924,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
408091,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
410343,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
410460,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
411651,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
413305,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
413445,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
414661,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
415292,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
415640,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
416940,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
417553,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
417721,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
417841,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
418233,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
418626,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
418636,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-07, Flight activity up to 2018-12 (5 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
419237,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
421432,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
421855,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
422989,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
423119,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
423313,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
424027,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
424585,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-02, Flight activity up to 2018-12 (22 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
425717,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
425779,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-10, Flight activity up to 2018-12 (14 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
426022,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
427358,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
427388,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
427804,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
428383,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-03, Flight activity up to 2018-12 (21 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
428710,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-10, Flight activity up to 2018-12 (2 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
428872,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
429460,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
429689,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
429692,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
430519,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
430559,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
430670,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
430712,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-07, Flight activity up to 2018-12 (5 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
432564,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
432941,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-05, Flight activity up to 2018-12 (19 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
433020,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
433300,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
434430,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
434657,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
435883,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
436041,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
436087,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
436282,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
436318,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
436498,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
436705,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
437251,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
437269,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
437403,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-05, Flight activity up to 2018-12 (19 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
438525,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
439252,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-03, Flight activity up to 2018-12 (21 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
440213,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-07, Flight activity up to 2018-12 (5 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
440758,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
441345,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
441419,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
441670,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
441719,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
442831,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
443770,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2013-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
444661,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-03, Flight activity up to 2018-12 (21 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
444904,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
445008,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2013-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
445247,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
445282,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
445783,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
446886,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
446968,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
447439,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
447804,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
448751,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
448823,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
450125,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
450735,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-10, Flight activity up to 2018-12 (2 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
450987,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-02, Flight activity up to 2018-12 (22 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
451042,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
451183,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
451448,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
452279,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
452459,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
452684,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
452985,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
453165,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
453587,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-03, Flight activity up to 2018-12 (21 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
454223,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
455234,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
457605,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
458029,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
458640,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
458745,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
459835,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-10, Flight activity up to 2018-12 (2 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
460037,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
460673,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
460943,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
461325,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
461540,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
462078,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
462253,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-03, Flight activity up to 2018-12 (21 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
462337,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-07, Flight activity up to 2018-12 (5 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
462366,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
462497,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
463146,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
463947,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
464471,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
464639,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
465476,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
466384,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
466477,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
466813,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
